,video_id,cluster
447,qnMk5NCXHiE,3
448,LdloXqgeHCM,13
449,Mya8JaD3Duw,1
450,O62Sm-C7ANc,16
451,UdsfJ2HCSJY,1
452,8vrPpQX42Zs,3
453,KjvQqgMYQeI,-1
454,ctnPglvhJVU,4
455,1c3vnmA2OgY,3
456,8nV6w21K5cM,3
457,JLfjG_BnM_s,3
458,Hp6Zr5OjZno,4
459,7e0OY9crUWo,3
460,GUgVYMQpro0,0
461,sVJmF5cEsc8,3
462,ehOgzmaVpw4,-1
463,xtTyEoJ31Vg,0
464,RfDVxZkhhL4,-1
465,vGzq7nb4MYc,13
466,uPB9RAiu3r8,17
467,4MKAf6YX_7M,-1
468,HgnJwDnhlnE,2
469,jMJafp6idIA,3
470,vNc2z2u_nh0,0
471,aoCIoumbWQY,0
472,fcBZxIA5ARs,4
473,5vFfv1Y5wog,0
474,uIcsM4_EgdY,3
475,kbAbh-jvpJg,-1
476,GRRQWKPL4d8,3
477,cWTWHhMAu7I,-1
478,VAHoryyJPaA,0
479,4MoSrMkWovM,-1
480,oJC03_t-loo,0
481,7wznuB0sKlw,1
482,qMnbuUgcvtA,4
483,_LJqDmljw94,4
484,wUIQVzw0xS4,0
485,JUv83tBaOps,-1
486,MSBY28IJ47U,0
487,SABX6YggDTU,0
488,j1E-GFXAKwg,3
489,tLaLfaIJf-Y,-1
490,oSdPmxRCWws,-1
491,WCEcbf8raB0,-1
492,JMLsHI8aV0g,-1
493,cW9shEB8h5E,0
494,C_Szux1e7TM,3
495,u0oTLNmXINE,-1
496,3cF-bTHtpzs,4
497,XxPG3eRKWb0,2
498,wTneC-QiZfo,4
499,95KhuSbYJGE,-1
500,v_336X798aU,0
501,Gc7EMIHoXs0,3
502,qkXQ65MF1ls,3
503,O5xeyoRL95U,-1
504,DSSKwgfwnxQ,5
505,Fn4xjZQFCmE,3
506,5Mem2iSWvOw,3
507,mYJhexvVx3c,3
508,u9notWWJoXU,-1
509,D9-UGlvWbaA,0
510,1L0TKZQcUtA,-1
511,kO61XbNa1P0,0
512,J4RqCSD--Dg,0
513,2KMk1lJGPlk,-1
514,OgeWMMVNZhw,3
515,On5WUCUNmfc,-1
516,gV0_raKR2UQ,-1
517,FY1I9qsUQCo,-1
518,EaYJqk4CmEc,4
519,DqH_4uJ2BOI,-1
520,WhkEy6t15eY,3
521,Ebb4gUI2IpQ,1
522,f-JCCOHwx1c,0
523,pDCgdg2gJJ4,3
524,po_iH7P5gyA,4
525,BLXZsBd1cDs,-1
526,bK_DBPcn3JQ,-1
527,WPpnCpJPHFE,1
528,1PyGSYdPTqc,13
529,DYvMsG2S-9I,4
530,vlCX7TVD3ao,3
531,Cum2GYNQgoU,4
532,8fCqkJkxruU,-1
533,14o1r0UNkpI,4
534,hV9pYpE80_4,0
535,fNFV9eo8HvY,2
536,uMzUB89uSxU,0
537,IJyrSbZf0Ng,15
538,h2rAjChdRhQ,0
539,hecPbWFM0tg,2
540,SY95FCiOWAk,-1
541,rDpcm_SuaYI,3
542,5lUSEBc6vbo,18
543,t8JRidxZCXU,-1
544,gL8_6JgW9sg,0
545,y5swZ2Q_lBw,0
546,nkakQ4_ouKE,0
547,gq0dWT1JpHs,1
548,kg3LNcqAMyg,-1
549,fGkMUf7EzBw,2
550,nCBuK9g4fws,3
551,6132hSD6FB4,2
552,UP_BWc4jFOY,4
553,r7j_OSJ5mtI,3
554,Ci746sgxf10,0
555,NgaW_p7gsRc,-1
556,qYR_KXXZm7k,2
557,70uGGw4RUH8,2
558,v3kZjPAmZ_w,2
559,mexN6d8QF9o,-1
560,ElFFg43UsQQ,3
561,J8XNAxoZcwM,0
562,JnQiLQuua9Y,1
563,M3ZrNvSffeM,4
564,dIBKfu-8Ass,3
565,1EBUsAEqhzI,3
566,jGwO_UgTS7I,-1
567,5FoGkkWf8w4,3
568,92oBTG49k80,3
569,bvZX7pdoxYY,0
570,c6r3uXCsFhY,2
571,AT8JCkJH9pY,-1
572,iVbhIesONYc,3
573,zQtAS5IymNU,3
574,l42lr8AlrHk,-1
575,HHldyefpWaE,-1
576,VbVPF57nne8,3
577,BNOMuQuk7tE,3
578,Ic_XnjabIMI,0
579,DP0TKM0S2-8,0
580,O5Zu19-tjY8,7
581,PWWO0YujJ6A,24
582,yg8-MGHdDCY,3
583,O6wSn3-t6-k,3
584,DRQi3TUmYDw,0
585,rjv_wDOblfc,6
586,NBxSlUFOloU,-1
587,G7taJ-yD5EY,0
588,y39OlGrVFD8,-1
589,dQybcVofidU,2
590,Rl_Xvf1jXRQ,2
591,tpCFfeUEGs8,-1
592,eUyQHt98sIY,4
593,SQxgvEHf4v4,3
594,qYD68F0yQSA,0
595,b6whCiWFI-g,2
596,_mMPAjSEIEs,-1
597,ztFTd_67w2o,5
598,4M3nTc6vIfk,-1
599,FMwg-MZVFiw,-1
600,U8O9FO0ico0,3
601,XKA78iFdKvU,-1
602,Tqm1hEW5zlU,1
603,UGHzKaAOOcA,-1
604,X6TGEMhjWGg,-1
605,Eg25OnvTxBY,0
606,bPpwZxasJo0,0
607,reUZRyXxUs4,-1
608,EIZyJj1czic,3
609,ZGetnk222YU,-1
610,U4t1qFteDjs,0
611,PtXITDqLMmg,13
612,LSHZ_b05W7o,-1
613,xr5LeWKbVnY,-1
614,hbD2Ftj1aAk,0
615,W7PsoM9bWYs,-1
616,0VH1Lim8gL8,-1
617,SFcHsK2SWrI,7
618,3tI_4QzyhE8,-1
619,cy1PwEW6wEk,2
620,RquoLaj-Wd0,0
621,kX4oTF-2_kM,-1
622,CvqVZ8v1gGA,1
623,XcL3No598uA,4
624,YFScYAFfJEw,4
625,2il446EZy3g,3
626,qvkcRC8a4EI,4
627,dX04-7wYJsE,5
628,fn0IxCf7ZNg,2
629,d7pWkxGqQBA,-1
630,5NgNicANyqM,-1
631,55H-JEMGj3w,-1
632,M-nRtdMan68,2
633,0VEH518M_70,3
634,EUHyUvGzmkw,14
635,XnmNNxBvbWc,3
636,yFI_77tytSg,3
637,XyeZFo1d5aY,3
638,Cuiqo5XWwzY,-1
639,Lhyp-pNsPdk,4
640,fQN-Rxlc28A,13
641,mV4wv8n94c4,0
642,RakR4O6PQVs,-1
643,7QY0rA_ySoc,3
644,SJE5wzPmIj4,-1
645,V-IFiagj388,4
646,38SUUaMX5Rg,0
647,rwqUJQS6mxs,2
648,78aIx9o-_fM,4
649,qQKu3p-e5RU,3
650,blU8MwhN9II,-1
651,bXI7mfY9RyM,-1
652,5NCPcBeALI4,0
653,IYE_5MHKg6A,3
654,QeEh9mcxxRE,-1
655,_38XDdXA7B8,3
656,JMUxmLyrhSk,-1
657,tvAh0JZF2YE,0
658,fJ40w_2h8kk,4
659,14NTliAndlw,-1
660,16E4-rNSBXY,4
661,upma2vFCB9g,-1
662,tRq3wjSJU8M,-1
663,q_tcg9XLsPI,3
664,pmyp7_isrYE,-1
665,I-aLMhRwfL0,2
666,5Qqn4OSuK_M,-1
667,N8bXmg19iGk,3
668,XysIwOvxNtU,4
669,xi2XLMB4I8E,4
670,jWGkW9yZjtM,2
671,Mwdiga6T1BE,2
672,DWsXtv3hmVo,4
673,2ksdfxzWR1c,3
674,zC8jkmlCDCU,0
675,sJKmcd8fjAE,0
676,rXyR0_gGFOM,-1
677,b4C3OI926lI,-1
678,9yuMxyKcrGE,-1
679,O2LYcNvaGOM,10
680,tVtQT5OP5y0,2
681,V_-CUtph_Aw,-1
682,2xATEwcRpy8,15
683,_V4D8Wd3_rE,4
684,pecVKZCdwpA,-1
685,ZxJjPj1UpQU,2
686,B6FPhfFPQpw,5
687,RoMrbY8pZT0,13
688,m2iobHZmM4s,0
689,CqOfi41LfDw,-1
690,5Viy3Cu3DLk,-1
691,ZSQ5LIHGWJ0,-1
692,Kk2NmEAAmwU,3
693,YP9kodLGvT8,-1
694,pYA6s4Dqzbw,3
695,8rXD5-xhemo,-1
696,BCd7J9JRcIU,3
697,LhqjTyGj7lk,0
698,hBKcL8fNZ18,1
699,PMwwovoQiEQ,1
700,MIAN0WGkTyY,-1
701,ji93Lo6wYnk,-1
702,2m7Pgl-84F8,0
703,8eSvDi73uLU,14
704,rb0Zs_jfYvU,-1
705,LFMCLUYRBZs,10
706,eCCN-BVyCz0,0
707,Le4RVII-TUU,1
708,qpoGoI742gA,-1
709,LqEZvAZiLM4,2
710,O7lfuc_4KAI,3
711,edFonw8ZGWU,4
712,gRLGE54CHhI,0
713,PEYBCsPM0hk,1
714,7hpV4Ad9mKk,2
715,emh7udx-8_4,13
716,MQur0baiG3o,-1
717,uvqDTbusdUU,-1
718,PaGyt-0LsW0,4
719,K85eGQTospA,-1
720,HVM-8amMGqE,13
721,w1a-c3UR0xo,4
722,UZ_Gj3Qon2M,-1
723,cplucNW70II,-1
724,HGXlFG_Rz4E,0
725,VBceREwF7SA,-1
726,NqHKr9CGWJ0,4
727,IzBie0-gRDI,2
728,PbeVkLCf0ts,-1
729,dYZBLjLg0pM,17
730,bbdsQoVbxkg,1
731,JZRJCs0PSgU,-1
732,ygce3zHlIN4,-1
733,zUJ8u9k0FzA,0
734,d9nP05RTu4Q,-1
735,ICCA3-7a5bw,0
736,2osIZ-dSPGE,0
737,RYIjxRfOPWY,0
738,sAabARyfYZg,0
739,CUtZG3NbAr8,-1
740,oQNbgJK9_9o,-1
741,kyIf3OwcC9c,-1
742,z4-1mmV7hl4,4
743,RSQo7WaZJzA,2
744,fX4CqpJRuIc,0
745,r8_O7O8kgJY,23
746,4p00K5_N7dI,0
747,J_ZMptIK0Ko,0
748,67rzbg4UhV4,-1
749,2_U1hAtNq8g,18
750,nbY2KqXSsaE,2
751,Iky7rJXQU_4,7
752,of3q-MnlmJk,-1
753,QV6rX9MxLFs,3
754,SRaxKX0l8z4,18
755,9OEa3fJUkiE,0
756,d2kxUVwWWwU,-1
757,XInW3m91uOg,5
758,ja06VL8vYmk,-1
759,kRDDmcwvomU,17
760,NdoydRqVOV4,2
761,yqlZ24Kk5hY,3
762,c7ScUDYSRYo,-1
763,vLuUNjQUcUA,-1
764,RVgfXDtMRBY,4
765,-ETQ97mXXF0,-1
766,JbehSWcOyAw,3
767,1kRJ-FOK_20,-1
768,b8ygWGotX_Y,-1
769,qwMn73q41Gs,0
770,H0etieBDxeY,-1
771,QIKQEKm0qIE,-1
772,0l9Pu4dk89c,0
773,xfYb5hapybQ,-1
774,y_B8UBq3D08,4
775,pPP5JpPP4sU,3
776,eo-zGb-l0nc,-1
777,dc0Y3fSAg_I,2
778,aqAvwqioC5M,1
779,4dwsSz_fNSQ,0
780,Q3ad7-RFhug,2
781,k_rmHRKc0JM,1
782,39EdqUbj92U,-1
783,A19f9ET3oB0,-1
784,asDixH06s28,0
785,Y08OaZVfkYE,-1
786,f8luGFRtshY,0
787,4aScMurLyC0,-1
788,ln6pCKts6k8,3
789,Ilg3gGewQ5U,-1
790,ZzRMcySolvU,1
791,3Rskp_N0FOM,-1
792,28rXr7gh954,3
793,0yGCB8y7u5c,-1
794,1C9hkXuRCrc,-1
795,fieyIxGS9cc,1
796,l7mfO7hbK_o,3
797,MfLPZgPRBFs,3
798,BLgz4ce84_w,5
799,79CF5lz-sqg,2
800,Dj3bDXy0peE,-1
801,AI1eKN1Eldg,1
802,0y_XP65_6o4,1
803,c_55gZfUK1E,-1
804,yzXDytQsK0w,3
805,vD6UYtmkVHE,-1
806,7jVKwYQdKww,0
807,oV74Najm6Nc,-1
808,5pM6NFb4tqU,8
809,Nn_w3MnCyDY,-1
810,_sAkAALHyEg,7
811,xglXO36160M,-1
812,9q_Mnv_YZXQ,0
813,sN5ZcJLDMaE,0
814,-hsl4LT8xGU,-1
815,4_UOc_CC3NA,1
816,UDlRRGRLGNM,3
817,_WzlgCoYeD8,2
818,0Iy9oH8VAbM,-1
819,u2hOWox3qn0,0
820,_utbQlafSWM,-1
821,7r83YNhDTZE,-1
822,YE21WLZ21RU,4
823,mwmuJF2ohTw,1
824,vJefOB8kec8,-1
825,QaIt-_UFY5k,3
826,0z6AhrOSrRs,-1
827,dc8gnPcKl9s,-1
828,wxV4dQx1qs8,3
829,sJKGk8D4Ao8,3
830,kC72nnR8EW8,-1
831,uvd0ybeSqp4,19
832,atGknXJES9w,-1
833,ag3DLKsl2vk,0
834,ye1UR39GxbM,0
835,Aq_spBAxVDQ,4
836,28s6Ezj9w-Y,21
837,Aym1Gx2wVK4,-1
838,Q-QxqFN7Iq8,-1
839,xx4-R46y15g,4
