,video_id,final_emotion_score,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,neutral,optimism,pride,realization,relief,remorse,sadness,surprise
939,Js2oAqEN_h0,0.5392039741855115,0.4650929044932127,0.0,0.005912040360271931,0.016099691313380998,0.0326508182042744,0.04502979293465614,0.004526396747678518,0.005254301941022277,0.03714543953537941,0.0,0.12881048629060388,0.0,0.0,0.0524379494599998,0.0,0.6571845652328597,0.0,0.006607447634451091,0.0,0.0,0.4363373377933525,0.27307458291761577,0.0,0.007623024098575115,0.0,0.0,0.0,0.158694788813591
940,GjabdS4GIio,0.2287351059633322,0.34827475367770105,0.31480445310642774,0.005064812069758773,0.010533539630787474,0.03579304577764489,0.25885243953338694,0.004487229976803064,0.010088630020618439,0.12299177423119545,0.031711287796497345,0.03773102515923052,0.0,0.0,0.01134501777899762,0.0,0.4998499998723024,0.0,0.02835203232243657,0.0,0.0,0.613281547982535,0.012308904402224081,0.0,0.006537705554928578,0.0,0.0,0.029224766418337822,0.0
941,6stDhEA0wFQ,0.39424807040179716,0.36986118929986006,0.7046600182851156,0.05015251482836902,0.032292718154399894,0.045284941569780524,0.3264626090725263,0.1944642075104639,0.030677257837461575,0.2042395994067192,0.09373003197833896,0.08206228020135313,0.05310855638235808,0.6132319867610931,0.20043887034989893,0.03327338024973869,0.4631084776095425,0.0,0.12087527472370614,0.7049987763166428,0.0,0.4750316355210275,0.028377660338512876,0.0,0.009932113990057693,0.08223392814397812,0.0,0.11056537181138992,0.23843688455720743
942,i8NETqtGHms,0.2246202106920358,0.21885814586834562,0.5155507952744223,0.08577145781340216,0.023544563335295924,0.047794770786897575,0.15164723730413243,0.07800125282826936,0.05002434221519665,0.15041406891707862,0.07139410467914722,0.032334619514019544,0.06456332371913288,0.0,0.07174475478573836,0.2500942051410675,0.3806934042881101,0.0,0.07391793048772656,0.5225749680151542,0.03566891606897116,0.7058649654860194,0.05036549504167574,0.10595512855798006,0.010110540784496282,0.04019245505332947,0.033137112855911255,0.19836598524125293,0.19338621919680582
943,vFmWUjfCgC4,0.21732959755480522,0.2527189250174684,0.009562208317220211,0.10578520165290684,0.018557382300130876,0.04551613275203612,0.315933790562364,0.0031709878239780664,0.004142823163419962,0.0642471220344305,0.040544658821697034,0.07370482954075155,0.011866066139191389,0.0,0.040237502194941044,0.28753967334826785,0.32558122418982827,0.0,0.0334498796146363,0.6118466258049011,0.017926601693034172,0.6552838239046496,0.05813362902133829,0.0,0.00894185094891683,0.0,0.0,0.054849060252308846,0.10317632555961609
944,wsXl4CLOeew,0.010735370684415102,0.004269531462341547,0.0,0.0,0.0074489233084023,0.014382227789610624,0.0,0.0,0.0,0.0,0.0,0.004370026756078005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9661891460418701,0.0,0.0,0.006147668464109302,0.0,0.0,0.0,0.0
945,4AXR0v84DB4,0.1904212994069406,0.36671265008460197,0.0,0.03362663028140863,0.07746331456915609,0.04703507703893325,0.0,0.0,0.0,0.0,0.037306619435548784,0.21819177063714182,0.01644951058551669,0.0,0.02582144516054541,0.0,0.5080444160848856,0.0,0.11414030194282532,0.0,0.0,0.5492478260084203,0.0,0.0,0.04194379625065873,0.0,0.0,0.0,0.02520238794386387
946,gJ9NcxPUSPE,0.4282949866083846,0.28690748319334897,0.0366132192624112,0.009373709140345455,0.013954980184148619,0.08471607572282665,0.03289762121858075,0.15162703802343458,0.13057841343106702,0.0876336983190133,0.04485940569653534,0.1116664493562315,0.0,0.0,0.10153811179722348,0.0,0.5030535005257818,0.0,0.12854554525886971,0.5893646949669347,0.0,0.4633668883221357,0.04863757791110512,0.032101619988679886,0.011015843715362041,0.04548525810241699,0.7922816872596741,0.07486385013908148,0.355738234706223
947,zKrGRaQCWQE,0.018081081953520577,0.0,0.0,0.0,0.010283579273770252,0.04140767827630043,0.06077864393591881,0.0,0.0,0.0,0.0,0.0046619989443570375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9101229508717855,0.01633920893073082,0.0,0.006523361196741462,0.0,0.0,0.0,0.0
948,fWqpPsMXVsI,0.02600642091235263,0.2035671807688606,0.814828084065364,0.08527283352786597,0.09116124605143713,0.05229078524607612,0.15830669722830257,0.1454881608452914,0.022195008852960246,0.1551587129395236,0.07217681003088246,0.13382258120149096,0.08961214085754293,0.09138561350603898,0.04935995567786066,0.5796121716499328,0.3602910232064979,0.03585996478796005,0.09467799922761817,0.36385844958325225,0.03534550406038761,0.6268285481481632,0.15136188998465136,0.10491646453738213,0.016274292986765075,0.12073755264282227,0.40453022764995694,0.0992718408582732,0.35011562309227884
949,z-EtmaFJieY,0.27748934486079446,0.32669918852754765,0.39768500343108404,0.06377290996412437,0.0349053708816898,0.04240759046033731,0.09554996551014483,0.2508673079511417,0.0714849350353082,0.1691150370053947,0.041276612636548554,0.03350723384326135,0.06958114954509906,0.0,0.06232169705854599,0.48033772930502894,0.486866765503033,0.0,0.10334982458235963,0.693674057146863,0.15476780338212848,0.5457451977390086,0.02003297007953127,0.0,0.018990225787422838,0.028846783563494682,0.0,0.03975712942580382,0.17073783272256454
950,28ugd8lS5k8,0.013777584747665307,0.0044551570899784565,0.0,0.004700877238065004,0.0075151321943849325,0.0171673980075866,0.0,0.0,0.029734453186392784,0.02887512370944023,0.0,0.009044048376381397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333715587854385,0.0,0.0,0.008665140718221664,0.0,0.0,0.0,0.0
951,DHyUYg8X31c,0.07866593870238774,0.13435347874609715,0.40703511282124305,0.10825815120391467,0.03707773895748796,0.06481986761998652,0.15666240673911358,0.06478681433557844,0.08883488433435559,0.11441974042174526,0.0459429979166887,0.10039844987625503,0.040101833765705426,0.07317471069594224,0.0827221941055828,0.3207532608695328,0.23278055388835214,0.029466932949920494,0.08036554998564203,0.44838379336979944,0.04446223072175469,0.6983631152043811,0.06047035109766416,0.008418536745011806,0.01869444569200277,0.029381006583571435,0.27371180411428214,0.2777098938428118,0.12858442919969093
952,7WTEWyn9zfU,0.5694762813201284,0.3106082082085777,0.9162578582763672,0.006474575027823448,0.013205041410401464,0.0729052095504647,0.0,0.05196176585741341,0.007604542886838317,0.018623720854520798,0.0,0.04960409551858902,0.0,0.0,0.005321705248206854,0.0,0.7962300413554269,0.0,0.03493715450167656,0.0524057075381279,0.0,0.24914305630539144,0.059170906082727015,0.0,0.008870091719123034,0.0,0.0,0.0,0.0
953,9cXM49Iu6lM,0.022501556710559707,0.1621229738537823,0.4211755232800814,0.13155701897267136,0.04679440042799435,0.04989085111584158,0.1960581273909796,0.13155956780657363,0.06719777593389153,0.0814562562986144,0.04420491435448639,0.1160891259137048,0.11032985731920537,0.03580136597156525,0.09902665077005418,0.37555745425634085,0.34270606297999623,0.016858162358403206,0.06802693345854359,0.3408352328567869,0.06210520139171018,0.6798500839263554,0.11325806950584852,0.0,0.019810130168070362,0.05037342756986618,0.7665887475013733,0.11849838893976994,0.21944870348290904
954,SHfP8SPOEEw,0.30457947715561273,0.32615656273092253,0.0,0.004314804566092789,0.013141102496195923,0.05054315157144903,0.0063843815587460995,0.01585400164393442,0.006865463685244322,0.49654415249824524,0.03710341717426976,0.04723666896461509,0.0,0.0,0.019020068109966815,0.00468210456892848,0.7000685357996685,0.0,0.02541925044109424,0.30513868170479935,0.0,0.27806820411256755,0.009997089917305857,0.0,0.011911792773753404,0.0,0.0,0.0,0.21916995383799076
955,5AmYlIMaLqU,0.9928365349769592,0.8456343412399292,0.0,0.0,0.0,0.01806470938026905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05854182690382004,0.0,0.3402780592441559,0.0,0.059069618582725525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
956,wiscimXGqxg,0.3254540828341884,0.29687052852857637,0.0,0.003551352652721107,0.007480720037837391,0.021731327713600226,0.0040824804455041885,0.0031909749377518892,0.0,0.02051205188035965,0.0,0.006024133553728462,0.0,0.0,0.0028599982615560293,0.0,0.7811571098373908,0.0,0.0037425231421366334,0.0,0.0,0.42548767358862927,0.015593792156626781,0.0,0.0057939574874650976,0.0,0.0,0.0,0.0
957,5cFUZ03Sbhc,-0.09626743896638579,0.27910784007759676,0.4983837604522705,0.1292749365998639,0.17791585042141378,0.056989541535990104,0.09668081998825073,0.016963494941592216,0.0,0.23303688690066338,0.03749654130078852,0.10730099596548826,0.057704354636371136,0.0,0.018483235500752926,0.910033643245697,0.15863347159964697,0.0,0.07190072536468506,0.0,0.07645157724618912,0.5747436666654215,0.08831195654347539,0.0,0.010376927872689871,0.0,0.0,0.08688628673553467,0.051288548236091934
958,ZUKz4125WNI,0.655797106299724,0.45243769051677357,0.15666296426206827,0.04638960477896035,0.03963371429761702,0.04163338681827335,0.16581487422809005,0.08251951925922185,0.020202283281832933,0.09516614614985883,0.1206444624811411,0.03931565540343789,0.04999134596437216,0.0,0.040295336585215946,0.004267215263098478,0.6736197586463069,0.0,0.14245963637749182,0.1425823075696826,0.0,0.3446621709631953,0.1214836524763646,0.0,0.010179562992157621,0.05493497848510742,0.7897485494613647,0.08936319872736931,0.04926251371701559
